Rk,Squad,Country,League_Status,LgRk,MP,W,D,L,GF,GA,GD,Pts,Pts/G,Attendance,Top Team Scorer,Goalkeeper
59,Amiens,FRA,Stay,13,38,12,9,17,37,42,-5,45,1.18,"9,644",Moussa Konaté - 13,Régis Gurtner
69,Angers,FRA,Stay,14,38,9,14,15,42,52,-10,41,1.08,"11,062",Karl Toko Ekambi - 17,Ludovic Butelle
78,Strasbourg,FRA,Stay,15,38,9,11,18,44,67,-23,38,1,"24,083",Stéphane Bahoken - 7,Bingourou Kamara
79,Caen,FRA,Stay,16,38,10,8,20,27,52,-25,38,1,"17,188",Ivan Santini - 11,Rémy Vercoutre
80,Lille,FRA,Stay,17,38,10,8,20,41,67,-26,38,1,"31,453",Nicolas Pépé - 13,Mike Maignan
83,Toulouse,FRA,Stay,18,38,9,10,19,38,54,-16,37,0.97,"16,924",Max Gradel - 8,Alban Lafont
90,Troyes,FRA,Relegated,19,38,9,6,23,32,59,-27,33,0.87,"12,196",Adama Niane - 8,Mamadou Samassa
93,Metz,FRA,Relegated,20,38,6,8,24,34,76,-42,26,0.68,"14,839",Nolan Roux - 15,Eiji Kawashima
3,Bayern Munich,GER,Stay,1,34,27,3,4,92,28,64,84,2.47,"75,000",Robert Lewandowski - 29,Sven Ulreich
19,Schalke 04,GER,Stay,2,34,18,9,7,53,37,16,63,1.85,"61,197",Guido Burgstaller - 11,Ralf Fährmann
23,Hoffenheim,GER,Stay,3,34,15,10,9,66,48,18,55,1.62,"28,716",Mark Uth - 14,Oliver Baumann
24,Dortmund,GER,Stay,4,34,15,10,9,64,47,17,55,1.62,"79,496",Pierre-Emerick Aubameyang - 13,Roman Bürki
25,Leverkusen,GER,Stay,5,34,15,10,9,58,44,14,55,1.62,"28,415",Kevin Volland - 14,Bernd Leno
29,RB Leipzig,GER,Stay,6,34,15,8,11,57,53,4,53,1.56,"39,397",Timo Werner - 13,Péter Gulácsi
32,Stuttgart,GER,Stay,7,34,15,6,13,36,36,0,51,1.5,"56,045",Mario Gómez - 8,Ron-Robert Zieler
37,Eint Frankfurt,GER,Stay,8,34,14,7,13,45,45,0,49,1.44,"49,159",Sébastien Haller - 9,Lukáš Hrádecký
42,M'Gladbach,GER,Stay,9,34,13,8,13,47,52,-5,47,1.38,"50,986",Thorgan Hazard - 10,Yann Sommer
52,Hertha BSC,GER,Stay,10,34,10,13,11,43,46,-3,43,1.26,"45,319",Salomon Kalou - 12,Rune Jarstein
55,Werder Bremen,GER,Stay,11,34,10,12,12,37,40,-3,42,1.24,"38,726",Max Kruse - 6,Jiří Pavlenka
57,Augsburg,GER,Stay,12,34,10,11,13,43,46,-3,41,1.21,"28,238",Michael Gregoritsch - 13,Marwin Hitz
63,Hannover 96,GER,Stay,13,34,10,9,15,44,54,-10,39,1.15,"42,706",Niclas Füllkrug - 14,Philipp Tschauner
71,Mainz 05,GER,Stay,14,34,9,9,16,38,52,-14,36,1.06,"28,766",Yoshinori Mutō - 8,Robin Zentner
72,Freiburg,GER,Stay,15,34,8,12,14,32,56,-24,36,1.06,"23,894",Nils Petersen - 15,Alexander Schwolow
84,Wolfsburg,GER,Stay,16,34,6,15,13,36,48,-12,33,0.97,"25,712",Daniel Didavi - 9,Koen Casteels
87,Hamburger SV,GER,Relegated,17,34,8,7,19,29,53,-24,31,0.91,"50,656",Lewis Holtby - 6,Christian Mathenia
95,Köln,GER,Relegated,18,34,5,7,22,35,70,-35,22,0.65,"48,776","Leonardo Bittencourt, Simon Terodde - 5",Timo Horn
2,Juventus,ITA,Stay,1,38,30,5,3,86,24,62,95,2.5,"39,316",Paulo Dybala - 22,Gianluigi Buffon
6,Napoli,ITA,Stay,2,38,28,7,3,77,29,48,91,2.39,"43,050",Dries Mertens - 18,Pepe Reina
13,Roma,ITA,Stay,3,38,23,8,7,61,28,33,77,2.03,"37,450",Edin Džeko - 16,Alisson
17,Inter,ITA,Stay,4,38,20,12,6,66,30,36,72,1.89,"57,529",Mauro Icardi - 29,Samir Handanović
18,Lazio,ITA,Stay,5,38,21,9,8,89,49,40,72,1.89,"30,990",Ciro Immobile - 29,Thomas Strakosha
21,Milan,ITA,Stay,6,38,18,10,10,56,42,14,64,1.68,"52,690",Patrick Cutrone - 10,Gianluigi Donnarumma
27,Atalanta,ITA,Stay,7,38,16,12,10,57,39,18,60,1.58,"17,921",Josip Iličić - 11,Etrit Berisha
33,Fiorentina,ITA,Stay,8,38,16,9,13,54,46,8,57,1.5,"26,092",Giovanni Simeone - 14,Marco Sportiello
40,Sampdoria,ITA,Stay,10,38,16,6,16,56,60,-4,54,1.42,"20,156",Fabio Quagliarella - 19,Emiliano Viviano
41,Torino,ITA,Stay,9,38,13,15,10,54,46,8,54,1.42,"18,596",Iago Falque - 12,Salvatore Sirigu
64,Sassuolo,ITA,Stay,11,38,11,10,17,29,59,-30,43,1.13,"11,237",Matteo Politano - 10,Andrea Consigli
70,Genoa,ITA,Stay,12,38,11,8,19,33,43,-10,41,1.08,"20,941",Gianluca Lapadula - 6,Mattia Perin
74,Chievo,ITA,Stay,13,38,10,10,18,36,59,-23,40,1.05,"12,540",Roberto Inglese - 12,Stefano Sorrentino
75,Udinese,ITA,Stay,14,38,12,4,22,48,63,-15,40,1.05,"17,906",Kevin Lasagna - 12,Albano Bizzarri
76,Bologna,ITA,Stay,15,38,11,6,21,40,52,-12,39,1.03,"20,903",Simone Verdi - 10,Antonio Mirante
77,Cagliari,ITA,Stay,16,38,11,6,21,33,61,-28,39,1.03,"14,685",Leonardo Pavoletti - 11,Alessio Cragno
81,SPAL,ITA,Stay,17,38,8,14,16,39,59,-20,38,1,"12,067",Mirco Antenucci - 11,Alfred Gomis
86,Crotone,ITA,Relegated,18,38,9,8,21,40,66,-26,35,0.92,"10,581","Simeon Nwankwo, Marcello Trotta - 7",Alex Cordaz
94,Hellas Verona,ITA,Relegated,19,38,7,4,27,30,78,-48,25,0.66,"17,333","Moise Kean, Giampaolo Pazzini - 4",Nícolas Andrade
97,Benevento,ITA,Relegated,20,38,6,3,29,33,84,-51,21,0.55,"12,132",Cheick Diabaté - 8,Christian Puggioni
