Rk,Squad,Country,League_Status,LgRk,MP,W,D,L,GF,GA,GD,Pts,Pts/G,Attendance,Top Team Scorer,Goalkeeper
1,Manchester City,ENG,Stay,1,38,32,4,2,106,27,79,100,2.63,"54,070",Sergio Agüero - 21,Ederson
7,Manchester Utd,ENG,Stay,2,38,25,6,7,68,28,40,81,2.13,"74,976",Romelu Lukaku - 16,David de Gea
11,Tottenham,ENG,Stay,3,38,23,8,7,74,36,38,77,2.03,"67,953",Harry Kane - 30,Hugo Lloris
15,Liverpool,ENG,Stay,4,38,21,12,5,84,38,46,75,1.97,"53,049",Mohamed Salah - 32,"Loris Karius, Simon Mignolet"
20,Chelsea,ENG,Stay,5,38,21,7,10,62,38,24,70,1.84,"41,282",Eden Hazard - 12,Thibaut Courtois
22,Arsenal,ENG,Stay,6,38,19,6,13,74,51,23,63,1.66,"59,323",Alexandre Lacazette - 14,Petr Čech
38,Burnley,ENG,Stay,7,38,14,12,12,36,39,-3,54,1.42,"20,688",Chris Wood - 10,Nick Pope
47,Everton,ENG,Stay,8,38,13,10,15,44,58,-14,49,1.29,"38,797",Wayne Rooney - 10,Jordan Pickford
53,Leicester City,ENG,Stay,9,38,12,11,15,56,60,-4,47,1.24,"31,583",Jamie Vardy - 20,Kasper Schmeichel
60,Newcastle Utd,ENG,Stay,10,38,12,8,18,39,47,-8,44,1.16,"51,992",Ayoze Pérez - 8,Rob Elliot
61,Crystal Palace,ENG,Stay,11,38,11,11,16,45,55,-10,44,1.16,"25,063",Luka Milivojević - 10,Wayne Hennessey
62,Bournemouth,ENG,Stay,12,38,11,11,16,45,61,-16,44,1.16,"10,641","Callum Wilson, Joshua King - 8",Asmir Begović
67,West Ham,ENG,Stay,13,38,10,12,16,48,68,-20,42,1.11,"56,885",Marko Arnautović - 11,"Joe Hart, Adrián"
68,Watford,ENG,Stay,14,38,11,8,19,44,64,-20,41,1.08,"20,231",Abdoulaye Doucouré - 7,Heurelho Gomes
73,Brighton,ENG,Stay,15,38,9,13,16,34,54,-20,40,1.05,"30,403",Glenn Murray - 12,Mathew Ryan
82,Huddersfield,ENG,Stay,16,38,9,10,19,28,58,-30,37,0.97,"24,040",Steve Mounié - 7,Jonas Lössl
85,Southampton,ENG,Stay,17,38,7,15,16,37,56,-19,36,0.95,"30,794",Charlie Austin - 7,Fraser Forster
88,Swansea City,ENG,Relegated,18,38,8,9,21,28,56,-28,33,0.87,"20,623",Jordan Ayew - 7,Łukasz Fabiański
89,Stoke City,ENG,Relegated,19,38,7,12,19,35,68,-33,33,0.87,"29,280",Xherdan Shaqiri - 8,Jack Butland
91,West Brom,ENG,Relegated,20,38,6,13,19,31,56,-25,31,0.82,"24,520","Salomón Rondón, Jay Rodriguez - 7",Ben Foster
5,Barcelona,ESP,Stay,1,38,28,9,1,99,29,70,93,2.45,"66,603",Lionel Messi - 34,Marc-André ter Stegen
9,Atlético Madrid,ESP,Stay,2,38,23,10,5,58,22,36,79,2.08,"55,483",Antoine Griezmann - 19,Jan Oblak
14,Real Madrid,ESP,Stay,3,38,22,10,6,94,44,50,76,2,"66,161",Cristiano Ronaldo - 26,Keylor Navas
16,Valencia,ESP,Stay,4,38,22,7,9,65,38,27,73,1.92,"38,657",Rodrigo - 16,Neto
26,Villarreal,ESP,Stay,5,38,18,7,13,57,50,7,61,1.61,"16,731",Carlos Bacca - 15,Sergio Asenjo
28,Betis,ESP,Stay,6,38,18,6,14,60,61,-1,60,1.58,"46,711",Sergio León - 11,Antonio Adán
31,Sevilla,ESP,Stay,7,38,17,7,14,49,58,-9,58,1.53,"33,045",Wissam Ben Yedder - 9,Sergio Rico
36,Getafe,ESP,Stay,8,38,15,10,13,42,33,9,55,1.45,"10,318",Ángel Rodríguez - 13,Vicente Guaita
45,Girona,ESP,Stay,10,38,14,9,15,50,59,-9,51,1.34,"10,330",Cristhian Stuani - 21,Yassine Bounou
46,Eibar,ESP,Stay,9,38,14,9,15,44,50,-6,51,1.34,"5,338","Kike, Charles - 8",Marko Dmitrović
48,Espanyol,ESP,Stay,11,38,12,13,13,36,42,-6,49,1.29,"17,768",Gerard Moreno - 16,Pau López
49,Real Sociedad,ESP,Stay,12,38,14,7,17,66,59,7,49,1.29,"19,736",Willian José - 15,Gerónimo Rulli
50,Celta Vigo,ESP,Stay,13,38,13,10,15,59,60,-1,49,1.29,"15,683",Iago Aspas - 22,Rubén Blanco
56,Alavés,ESP,Stay,14,38,15,2,21,40,50,-10,47,1.24,"16,819",Munir El Haddadi - 10,Fernando Pacheco
58,Levante,ESP,Stay,15,38,11,13,14,44,58,-14,46,1.21,"17,927",José Luis Morales - 10,Oier Olazábal
65,Athletic Club,ESP,Stay,16,38,10,13,15,41,49,-8,43,1.13,"37,325",Raúl García - 10,Kepa Arrizabalaga
66,Leganés,ESP,Stay,17,38,12,7,19,34,51,-17,43,1.13,"9,539",Gabriel - 5,Iván Cuéllar
92,La Coruña,ESP,Relegated,18,38,6,11,21,38,76,-38,29,0.76,"20,612",Adrián López - 9,Rubén
96,Las Palmas,ESP,Relegated,19,38,5,7,26,24,74,-50,22,0.58,"16,156",Jonathan Calleri - 9,Leandro Chichizola
98,Málaga,ESP,Relegated,20,38,5,5,28,24,61,-37,20,0.53,"20,420",Diego Rolán - 5,Roberto
4,Paris S-G,FRA,Stay,1,38,29,6,3,108,29,79,93,2.45,"46,929",Edinson Cavani - 28,Alphonse Areola
8,Monaco,FRA,Stay,2,38,24,8,6,85,45,40,80,2.11,"9,243",Radamel Falcao - 18,Danijel Subašić
10,Lyon,FRA,Stay,3,38,23,9,6,87,43,44,78,2.05,"46,005",Memphis Depay - 19,Anthony Lopes
12,Marseille,FRA,Stay,4,38,22,11,5,80,47,33,77,2.03,"46,040",Florian Thauvin - 22,Steve Mandanda
30,Rennes,FRA,Stay,5,38,16,10,12,50,44,6,58,1.53,"23,111",Benjamin Bourigeaud - 10,Tomáš Koubek
34,Bordeaux,FRA,Stay,6,38,16,7,15,53,48,5,55,1.45,"26,470",Malcom - 12,Benoît Costil
35,Saint-Étienne,FRA,Stay,7,38,15,10,13,47,50,-3,55,1.45,"28,142","Jonathan Bamba, Rémy Cabella... - 7",Stéphane Ruffier
39,Nice,FRA,Stay,8,38,15,9,14,53,52,1,54,1.42,"22,876",Mario Balotelli - 18,Walter Benítez
43,Nantes,FRA,Stay,9,38,14,10,14,36,41,-5,52,1.37,"24,559",Emiliano Sala - 12,Ciprian Tătărușanu
44,Montpellier,FRA,Stay,10,38,11,18,9,36,33,3,51,1.34,"13,458",Giovanni Sio - 10,Benjamin Lecomte
51,Dijon,FRA,Stay,11,38,13,9,16,55,73,-18,48,1.26,"12,228",Júlio Tavares - 12,Baptiste Reynet
54,Guingamp,FRA,Stay,12,38,12,11,15,48,59,-11,47,1.24,"14,506",Jimmy Briand - 11,Karl-Johan Johnsson
