Rk,Squad,Country,League_Status,LgRk,MP,W,D,L,GF,GA,GD,Pts,Pts/G,Attendance,Top Team Scorer,Goalkeeper
1,Monaco,FRA,Stay,1,38,30,5,3,107,31,76,95,2.5,"9,586",Radamel Falcao - 21,Danijel Subašić
7,Paris S-G,FRA,Stay,2,38,27,6,5,83,27,56,87,2.29,"45,160",Edinson Cavani - 35,Kevin Trapp
12,Nice,FRA,Stay,3,38,22,12,4,63,36,27,78,2.05,"22,949",Mario Balotelli - 15,Yoan Cardinale
23,Lyon,FRA,Stay,4,38,21,4,13,77,48,29,67,1.76,"39,171",Alexandre Lacazette - 28,Anthony Lopes
28,Marseille,FRA,Stay,5,38,17,11,10,57,41,16,62,1.63,"39,894",Bafétimbi Gomis - 20,Yohann Pelé
32,Bordeaux,FRA,Stay,6,38,15,14,9,53,43,10,59,1.55,"24,217",Diego Rolán - 9,Cédric Carrasso
40,Nantes,FRA,Stay,7,38,14,9,15,40,54,-14,51,1.34,"23,152",Emiliano Sala - 12,Rémy Riou
41,Guingamp,FRA,Stay,10,38,14,8,16,46,53,-7,50,1.32,"14,790",Jimmy Briand - 12,Karl-Johan Johnsson
42,Saint-Étienne,FRA,Stay,8,38,12,14,12,41,42,-1,50,1.32,"25,794",Romain Hamouma - 7,Stéphane Ruffier
43,Rennes,FRA,Stay,9,38,12,14,12,36,42,-6,50,1.32,"22,688",Giovanni Sio - 9,Benoît Costil
52,Lille,FRA,Stay,11,38,13,7,18,40,47,-7,46,1.21,"29,487",Nicolas de Préville - 14,Vincent Enyeama
53,Angers,FRA,Stay,12,38,13,7,18,40,49,-9,46,1.21,"11,956",Famara Diedhiou - 8,Mathieu Michel
64,Toulouse,FRA,Stay,13,38,10,14,14,37,41,-4,44,1.16,"17,067",Martin Braithwaite - 11,Alban Lafont
65,Metz,FRA,Stay,14,38,11,10,17,39,72,-33,43,1.13,"15,343",Cheick Diabaté - 8,Thomas Didillon
76,Montpellier,FRA,Stay,15,38,10,9,19,48,66,-18,39,1.03,"12,356",Steve Mounié - 14,Laurent Pionnier
79,Dijon,FRA,Stay,16,38,8,13,17,46,58,-12,37,0.97,"10,126",Lois Diony - 11,Baptiste Reynet
80,Caen,FRA,Stay,17,38,10,7,21,36,65,-29,37,0.97,"16,755",Ivan Santini - 15,Rémy Vercoutre
81,Lorient,FRA,Relegated,18,38,10,6,22,44,70,-26,36,0.95,"11,847",Benjamin Moukandjo - 13,Benjamin Lecomte
85,Nancy,FRA,Relegated,19,38,9,8,21,29,52,-23,35,0.92,"17,516",Issiar Dia - 8,Guy N'dy Assembé
88,Bastia,FRA,Relegated,20,38,8,10,20,29,54,-25,34,0.89,"9,405",Enzo Crivelli - 10,Jean-Louis Leca
4,Bayern Munich,GER,Stay,1,34,25,7,2,89,22,67,82,2.41,"75,000",Robert Lewandowski - 30,Manuel Neuer
16,RB Leipzig,GER,Stay,2,34,20,7,7,66,39,27,67,1.97,"41,455",Timo Werner - 21,Péter Gulácsi
19,Dortmund,GER,Stay,3,34,18,10,6,72,40,32,64,1.88,"79,653",Pierre-Emerick Aubameyang - 31,Roman Bürki
22,Hoffenheim,GER,Stay,4,34,16,14,4,64,37,27,62,1.82,"28,155",Andrej Kramarić - 15,Oliver Baumann
35,Köln,GER,Stay,5,34,12,13,9,51,42,9,49,1.44,"49,571",Anthony Modeste - 25,Timo Horn
36,Hertha BSC,GER,Stay,6,34,15,4,15,43,47,-4,49,1.44,"50,267",Vedad Ibišević - 12,Rune Jarstein
38,Freiburg,GER,Stay,7,34,14,6,14,42,60,-18,48,1.41,"23,959",Florian Niederlechner - 11,Alexander Schwolow
44,Werder Bremen,GER,Stay,8,34,13,6,15,61,64,-3,45,1.32,"40,881",Max Kruse - 15,Felix Wiedwald
45,M'Gladbach,GER,Stay,9,34,12,9,13,45,49,-4,45,1.32,"51,494",Lars Stindl - 11,Yann Sommer
46,Schalke 04,GER,Stay,10,34,11,10,13,45,40,5,43,1.26,"60,703",Guido Burgstaller - 9,Ralf Fährmann
48,Eint Frankfurt,GER,Stay,11,34,11,9,14,36,43,-7,42,1.24,"49,165",Marco Fabián - 7,Lukáš Hrádecký
54,Leverkusen,GER,Stay,12,34,11,8,15,53,55,-2,41,1.21,"28,428",Javier Hernández - 11,Bernd Leno
67,Augsburg,GER,Stay,13,34,9,11,14,35,51,-16,38,1.12,"28,172",Halil Altıntop - 6,Marwin Hitz
68,Hamburger SV,GER,Stay,14,34,10,8,16,33,61,-28,38,1.12,"52,341","Michael Gregoritsch, Nicolai Müller... - 5",René Adler
69,Mainz 05,GER,Stay,15,34,10,7,17,44,55,-11,37,1.09,"29,026",Yunus Mallı - 6,Jonas Lössl
70,Wolfsburg,GER,Stay,16,34,10,7,17,34,52,-18,37,1.09,"27,586",Mario Gómez - 16,Koen Casteels
84,Ingolstadt 04,GER,Relegated,17,34,8,8,18,36,57,-21,32,0.94,"14,601",Almog Cohen - 7,Martin Hansen
93,Darmstadt 98,GER,Relegated,18,34,7,4,23,28,63,-35,25,0.74,"16,753","Mario Vrančić, Antonio Čolak - 4",Michael Esser
5,Juventus,ITA,Stay,1,38,29,4,5,77,27,50,91,2.39,"39,936",Gonzalo Higuaín - 24,Gianluigi Buffon
8,Roma,ITA,Stay,2,38,28,3,7,90,38,52,87,2.29,"32,638",Edin Džeko - 29,Wojciech Szczęsny
10,Napoli,ITA,Stay,3,38,26,8,4,94,39,55,86,2.26,"36,601",Dries Mertens - 28,Pepe Reina
17,Atalanta,ITA,Stay,4,38,21,9,8,62,41,21,72,1.89,"16,948",Papu Gómez - 16,Etrit Berisha
20,Lazio,ITA,Stay,5,38,21,7,10,74,51,23,70,1.84,"20,453",Ciro Immobile - 23,Thomas Strakosha
26,Milan,ITA,Stay,6,38,18,9,11,57,45,12,63,1.66,"40,326",Carlos Bacca - 13,Gianluigi Donnarumma
29,Inter,ITA,Stay,7,38,19,5,14,72,49,23,62,1.63,"46,622",Mauro Icardi - 24,Samir Handanović
31,Fiorentina,ITA,Stay,8,38,16,12,10,63,57,6,60,1.58,"26,470",Nikola Kalinić - 15,Ciprian Tătărușanu
39,Torino,ITA,Stay,9,38,13,14,11,71,66,5,53,1.39,"19,327",Andrea Belotti - 26,Joe Hart
47,Sampdoria,ITA,Stay,10,38,12,12,14,49,55,-6,48,1.26,"19,852",Fabio Quagliarella - 12,Christian Puggioni
49,Cagliari,ITA,Stay,11,38,14,5,19,55,76,-21,47,1.24,"12,998",Marco Borriello - 16,Rafael
55,Sassuolo,ITA,Stay,12,38,13,7,18,58,63,-5,46,1.21,"12,362",Grégoire Defrel - 12,Andrea Consigli
60,Udinese,ITA,Stay,13,38,12,9,17,47,56,-9,45,1.18,"17,878",Cyril Théréau - 12,Orestis Karnezis
66,Chievo,ITA,Stay,14,38,12,7,19,43,61,-18,43,1.13,"11,632",Roberto Inglese - 10,Stefano Sorrentino
73,Bologna,ITA,Stay,15,38,11,8,19,40,58,-18,41,1.08,"21,189",Mattia Destro - 11,Antonio Mirante
82,Genoa,ITA,Stay,16,38,9,9,20,38,64,-26,36,0.95,"21,335",Giovanni Simeone - 12,Eugenio Lamanna
89,Crotone,ITA,Stay,17,38,9,7,22,34,58,-24,34,0.89,"8,212",Diego Falcinelli - 13,Alex Cordaz
90,Empoli,ITA,Relegated,18,38,8,8,22,29,61,-32,32,0.84,"9,409",Levan Mchedlidze - 6,Łukasz Skorupski
94,Palermo,ITA,Relegated,19,38,6,8,24,33,77,-44,26,0.68,"13,204",Ilija Nestorovski - 11,Josip Posavec
98,Pescara,ITA,Relegated,20,38,3,9,26,37,81,-44,18,0.47,"13,543",Gianluca Caprari - 9,Albano Bizzarri
