Rk,Squad,Country,League_Status,LgRk,MP,W,D,L,GF,GA,GD,Pts,Pts/G,Attendance,Top Team Scorer,Goalkeeper
2,Chelsea,ENG,Stay,1,38,30,3,5,85,33,52,93,2.45,"41,508",Diego Costa - 20,Thibaut Courtois
9,Tottenham,ENG,Stay,2,38,26,8,4,86,26,60,86,2.26,"31,639",Harry Kane - 29,Hugo Lloris
11,Manchester City,ENG,Stay,3,38,23,9,6,80,39,41,78,2.05,"54,019",Sergio Agüero - 20,Claudio Bravo
14,Liverpool,ENG,Stay,4,38,22,10,6,78,42,36,76,2,"53,016","Philippe Coutinho, Sadio Mané - 13",Simon Mignolet
15,Arsenal,ENG,Stay,5,38,23,6,9,77,44,33,75,1.97,"59,957",Alexis Sánchez - 24,Petr Čech
21,Manchester Utd,ENG,Stay,6,38,18,15,5,54,29,25,69,1.82,"75,290",Zlatan Ibrahimović - 17,David de Gea
30,Everton,ENG,Stay,7,38,17,10,11,62,44,18,61,1.61,"39,047",Romelu Lukaku - 25,Joel Robles
50,Southampton,ENG,Stay,8,38,12,10,16,41,48,-7,46,1.21,"30,936",Nathan Redmond - 7,Fraser Forster
51,Bournemouth,ENG,Stay,9,38,12,10,16,55,67,-12,46,1.21,"11,182",Joshua King - 16,Artur Boruc
58,West Brom,ENG,Stay,10,38,12,9,17,43,51,-8,45,1.18,"23,876",Salomón Rondón - 8,Ben Foster
59,West Ham,ENG,Stay,11,38,12,9,17,47,64,-17,45,1.18,"56,972",Michail Antonio - 9,Darren Randolph
62,Leicester City,ENG,Stay,12,38,12,8,18,48,63,-15,44,1.16,"31,893",Jamie Vardy - 13,Kasper Schmeichel
63,Stoke City,ENG,Stay,13,38,11,11,16,41,56,-15,44,1.16,"27,433",Peter Crouch - 7,Lee Grant
71,Crystal Palace,ENG,Stay,14,38,12,5,21,50,63,-13,41,1.08,"25,161",Christian Benteke - 15,Wayne Hennessey
72,Swansea City,ENG,Stay,15,38,12,5,21,45,70,-25,41,1.08,"20,619",Fernando Llorente - 15,Łukasz Fabiański
74,Burnley,ENG,Stay,16,38,11,7,20,39,55,-16,40,1.05,"20,558",Sam Vokes - 10,Tom Heaton
75,Watford,ENG,Stay,17,38,11,7,20,40,68,-28,40,1.05,"20,571",Troy Deeney - 10,Heurelho Gomes
87,Hull City,ENG,Relegated,18,38,9,7,22,37,80,-43,34,0.89,"20,761",Robert Snodgrass - 7,Eldin Jakupović
92,Middlesbrough,ENG,Relegated,19,38,5,13,20,27,53,-26,28,0.74,"30,449",Álvaro Negredo - 9,Víctor Valdés
95,Sunderland,ENG,Relegated,20,38,6,6,26,29,69,-40,24,0.63,"41,287",Jermain Defoe - 15,Jordan Pickford
3,Real Madrid,ESP,Stay,1,38,29,6,3,106,41,65,93,2.45,"69,426",Cristiano Ronaldo - 25,Keylor Navas
6,Barcelona,ESP,Stay,2,38,28,6,4,116,37,79,90,2.37,"78,034",Lionel Messi - 37,Marc-André ter Stegen
13,Atlético Madrid,ESP,Stay,3,38,23,9,6,70,27,43,78,2.05,"44,710",Antoine Griezmann - 16,Jan Oblak
18,Sevilla,ESP,Stay,4,38,21,9,8,69,49,20,72,1.89,"32,814",Wissam Ben Yedder - 11,Sergio Rico
24,Villarreal,ESP,Stay,5,38,19,10,9,56,33,23,67,1.76,"17,568",Cédric Bakambu - 11,Sergio Asenjo
25,Real Sociedad,ESP,Stay,6,38,19,7,12,59,53,6,64,1.68,"21,453",Willian José - 12,Gerónimo Rulli
27,Athletic Club,ESP,Stay,7,38,19,6,13,53,43,10,63,1.66,"41,042",Aritz Aduriz - 16,Kepa Arrizabalaga
33,Espanyol,ESP,Stay,8,38,15,11,12,49,50,-1,56,1.47,"20,245",Gerard Moreno - 13,Diego López
34,Alavés,ESP,Stay,9,38,14,13,11,41,43,-2,55,1.45,"16,499",Deyverson - 7,Fernando Pacheco
37,Eibar,ESP,Stay,10,38,15,9,14,56,51,5,54,1.42,"5,357",Sergi Enrich - 11,Yoel
56,Málaga,ESP,Stay,11,38,12,10,16,49,55,-6,46,1.21,"22,625",Sandro Ramírez - 14,Carlos Kameni
57,Valencia,ESP,Stay,12,38,13,7,18,56,65,-9,46,1.21,"33,911","Simone Zaza, Santi Mina... - 6",Diego Alves
61,Celta Vigo,ESP,Stay,13,38,13,6,19,53,69,-16,45,1.18,"16,858",Iago Aspas - 19,Sergio Álvarez
77,Las Palmas,ESP,Stay,14,38,10,9,19,53,74,-21,39,1.03,"20,249",Kevin-Prince Boateng - 10,Javi Varas
78,Betis,ESP,Stay,15,38,10,9,19,41,64,-23,39,1.03,"33,097",Rubén Castro - 13,Antonio Adán
83,La Coruña,ESP,Stay,16,38,8,12,18,43,61,-18,36,0.95,"22,602",Florin Andone - 12,Germán Lux
86,Leganés,ESP,Stay,17,38,8,11,19,36,55,-19,35,0.92,"9,773",Alexander - 8,Iago Herrerín
91,Sporting Gijón,ESP,Relegated,18,38,7,10,21,42,72,-30,31,0.82,"22,798",Duje Čop - 9,Iván Cuéllar
96,Osasuna,ESP,Relegated,19,38,4,10,24,40,94,-54,22,0.58,"14,817",Sergio León - 10,Salvatore Sirigu
97,Granada,ESP,Relegated,20,38,4,8,26,30,82,-52,20,0.53,"14,941","Mehdi Carcela, Andreas Pereira... - 5",Guillermo Ochoa
