Rk,Squad,Country,League_Status,LgRk,MP,W,D,L,GF,GA,GD,Pts,Pts/G,Attendance,Top Team Scorer,Goalkeeper
3,Manchester City,ENG,Stay,1,38,27,5,6,83,32,51,86,2.26,526,İlkay Gündoğan - 13,Ederson
16,Manchester Utd,ENG,Stay,2,38,21,11,6,73,44,29,74,1.95,526,Bruno Fernandes - 18,David de Gea
19,Liverpool,ENG,Stay,3,38,20,9,9,68,42,26,69,1.82,837,Mohamed Salah - 22,Alisson
22,Chelsea,ENG,Stay,4,38,19,10,9,58,36,22,67,1.76,526,Jorginho - 7,Edouard Mendy
24,Leicester City,ENG,Stay,5,38,20,6,12,68,50,18,66,1.74,421,Jamie Vardy - 15,Kasper Schmeichel
25,West Ham,ENG,Stay,6,38,19,8,11,62,47,15,65,1.71,632,"Tomáš Souček, Michail Antonio - 10",Łukasz Fabiański
26,Tottenham,ENG,Stay,7,38,18,8,12,68,45,23,62,1.63,632,Harry Kane - 23,Hugo Lloris
30,Arsenal,ENG,Stay,8,38,18,7,13,55,39,16,61,1.61,632,Alexandre Lacazette - 13,Bernd Leno
33,Everton,ENG,Stay,10,38,17,8,13,47,48,-1,59,1.55,368,Dominic Calvert-Lewin - 16,Jordan Pickford
34,Leeds United,ENG,Stay,9,38,18,5,15,62,54,8,59,1.55,421,Patrick Bamford - 17,Illan Meslier
40,Aston Villa,ENG,Stay,11,38,16,7,15,55,46,9,55,1.45,526,Ollie Watkins - 14,Emiliano Martínez
53,Newcastle Utd,ENG,Stay,12,38,12,9,17,46,62,-16,45,1.18,526,Callum Wilson - 12,Karl Darlow
54,Wolves,ENG,Stay,13,38,12,9,17,36,52,-16,45,1.18,237,"Rúben Neves, Pedro Neto - 5",Rui Patrício
57,Crystal Palace,ENG,Stay,14,38,12,8,18,41,66,-25,44,1.16,447,Wilfried Zaha - 11,Vicente Guaita
62,Southampton,ENG,Stay,15,38,12,7,19,47,68,-21,43,1.13,526,Danny Ings - 12,Alex McCarthy
