Rk,Squad,Country,League_Status,LgRk,MP,W,D,L,GF,GA,GD,Pts,Pts/G,Attendance,Top Team Scorer,Goalkeeper
1,Manchester City,ENG,Stay,1,38,32,2,4,95,23,72,98,2.58,"54,130",Sergio Agüero - 21,Ederson
2,Liverpool,ENG,Stay,2,38,30,7,1,89,22,67,97,2.55,"52,983","Sadio Mané, Mohamed Salah - 22",Alisson
12,Chelsea,ENG,Stay,3,38,21,9,8,63,39,24,72,1.89,"40,437",Eden Hazard - 16,Kepa Arrizabalaga
14,Tottenham,ENG,Stay,4,38,23,2,13,67,39,28,71,1.87,"54,216",Harry Kane - 17,Hugo Lloris
15,Arsenal,ENG,Stay,5,38,21,7,10,73,51,22,70,1.84,"59,899",Pierre-Emerick Aubameyang - 22,Bernd Leno
20,Manchester Utd,ENG,Stay,6,38,19,9,10,65,54,11,66,1.74,"74,498",Paul Pogba - 13,David de Gea
35,Wolves,ENG,Stay,7,38,16,9,13,47,46,1,57,1.5,"31,030",Raúl Jiménez - 13,Rui Patrício
39,Everton,ENG,Stay,8,38,15,9,14,54,46,8,54,1.42,"39,043","Gylfi Sigurðsson, Richarlison - 13",Jordan Pickford
44,West Ham,ENG,Stay,10,38,15,7,16,52,55,-3,52,1.37,"58,336",Marko Arnautović - 10,Łukasz Fabiański
45,Leicester City,ENG,Stay,9,38,15,7,16,51,48,3,52,1.37,"31,851",Jamie Vardy - 18,Kasper Schmeichel
50,Watford,ENG,Stay,11,38,14,8,16,52,59,-7,50,1.32,"20,016",Gerard Deulofeu - 10,Ben Foster
51,Crystal Palace,ENG,Stay,12,38,14,7,17,51,53,-2,49,1.29,"25,455",Luka Milivojević - 12,Vicente Guaita
60,Newcastle Utd,ENG,Stay,13,38,12,9,17,42,48,-6,45,1.18,"51,121",Ayoze Pérez - 12,Martin Dúbravka
61,Bournemouth,ENG,Stay,14,38,13,6,19,56,70,-14,45,1.18,"10,532",Callum Wilson - 14,Asmir Begović
75,Burnley,ENG,Stay,15,38,11,7,20,45,68,-23,40,1.05,"20,534",Ashley Barnes - 12,"Tom Heaton, Joe Hart"
76,Southampton,ENG,Stay,16,38,9,12,17,45,65,-20,39,1.03,"30,139","James Ward-Prowse, Danny Ings - 7",Alex McCarthy
83,Brighton,ENG,Stay,17,38,9,9,20,35,60,-25,36,0.95,"30,426",Glenn Murray - 13,Mathew Ryan
86,Cardiff City,ENG,Relegated,18,38,10,4,24,34,69,-35,34,0.89,"31,408","Víctor Camarasa, Bobby Reid - 5",Neil Etheridge
93,Fulham,ENG,Relegated,19,38,7,5,26,34,81,-47,26,0.68,"24,371",Aleksandar Mitrović - 11,Sergio Rico
98,Huddersfield,ENG,Relegated,20,38,3,7,28,22,76,-54,16,0.42,"23,203","Aaron Mooy, Mathias Jørgensen... - 3",Jonas Lössl
5,Barcelona,ESP,Stay,1,38,26,9,3,90,36,54,87,2.29,"76,104",Lionel Messi - 36,Marc-André ter Stegen
9,Atlético Madrid,ESP,Stay,2,38,22,10,6,55,29,26,76,2,"56,216",Antoine Griezmann - 15,Jan Oblak
18,Real Madrid,ESP,Stay,3,38,21,5,12,63,46,17,68,1.79,"61,040",Karim Benzema - 21,Thibaut Courtois
27,Valencia,ESP,Stay,4,38,15,16,7,51,35,16,61,1.61,"39,504",Daniel Parejo - 9,Neto
31,Getafe,ESP,Stay,5,38,15,14,9,48,35,13,59,1.55,"11,000","Jaime Mata, Jorge Molina - 14",David Soria
32,Sevilla,ESP,Stay,6,38,17,8,13,62,47,15,59,1.55,"35,993",Wissam Ben Yedder - 18,Tomáš Vaclík
40,Espanyol,ESP,Stay,7,38,14,11,13,48,50,-2,53,1.39,"19,388",Borja Iglesias - 17,Diego López
41,Athletic Club,ESP,Stay,8,38,13,14,11,41,45,-4,53,1.39,"40,664",Iñaki Williams - 12,Iago Herrerín
47,Betis,ESP,Stay,10,38,14,8,16,44,52,-8,50,1.32,"44,525",Giovani Lo Celso - 9,Pau López
48,Alavés,ESP,Stay,11,38,13,11,14,39,50,-11,50,1.32,"17,295",Jonathan Calleri - 9,Fernando Pacheco
49,Real Sociedad,ESP,Stay,9,38,13,11,14,45,46,-1,50,1.32,"22,310",Mikel Oyarzabal - 13,Gerónimo Rulli
57,Eibar,ESP,Stay,12,38,11,14,13,46,50,-4,47,1.24,"4,896",Charles - 14,Marko Dmitrović
59,Leganés,ESP,Stay,13,38,11,12,15,37,43,-6,45,1.18,"10,416",Youssef En-Nesyri - 9,Iván Cuéllar
62,Villarreal,ESP,Stay,14,38,10,14,14,49,52,-3,44,1.16,"16,732",Karl Toko Ekambi - 10,Sergio Asenjo
63,Levante,ESP,Stay,15,38,11,11,16,59,66,-7,44,1.16,"20,216",Roger Martí - 13,Oier Olazábal
68,Valladolid,ESP,Stay,16,38,10,11,17,32,51,-19,41,1.08,"18,992",Enes Ünal - 6,Jordi Masip
69,Celta Vigo,ESP,Stay,17,38,10,11,17,53,62,-9,41,1.08,"17,603",Iago Aspas - 20,Rubén Blanco
81,Girona,ESP,Relegated,18,38,9,10,19,37,53,-16,37,0.97,"10,948",Cristhian Stuani - 19,Yassine Bounou
88,Huesca,ESP,Relegated,19,38,7,12,19,43,65,-22,33,0.87,"6,605",Ezequiel Ávila - 10,Roberto Santamaría
90,Rayo Vallecano,ESP,Relegated,20,38,8,8,22,41,70,-29,32,0.84,"11,928",Raúl de Tomás - 14,Stole Dimitrievski
3,Paris S-G,FRA,Stay,1,38,29,4,5,105,35,70,91,2.39,"46,911",Kylian Mbappé - 33,Alphonse Areola
10,Lille,FRA,Stay,2,38,22,9,7,68,33,35,75,1.97,"34,079",Nicolas Pépé - 22,Mike Maignan
13,Lyon,FRA,Stay,3,38,21,9,8,70,47,23,72,1.89,"49,079",Moussa Dembélé - 15,Anthony Lopes
22,Saint-Étienne,FRA,Stay,4,38,19,9,10,59,41,18,66,1.74,"28,400",Wahbi Khazri - 13,Stéphane Ruffier
28,Marseille,FRA,Stay,5,38,18,7,13,60,52,8,61,1.61,"50,140",Florian Thauvin - 16,Steve Mandanda
