Rk,Squad,Country,LgRk,League_Status,MP,W,D,L,GF,GA,GD,Pts,Pts/G,Attendance,Top Team Scorer,Goalkeeper
7,Dortmund,GER,2,Stay,34,24,6,4,82,34,48,78,2,81178,Pierre-Emerick Aubameyang - 25,Roman Bürki
13,Leverkusen,GER,3,Stay,34,18,6,10,56,40,16,60,2,29085,Javier Hernández - 17,Bernd Leno
25,M'Gladbach,GER,4,Stay,34,17,4,13,67,50,17,55,2,51715,Raffael - 13,Yann Sommer
31,Schalke 04,GER,5,Stay,34,15,7,12,51,49,2,52,2,61386,Klaas-Jan Huntelaar - 12,Ralf Fährmann
33,Mainz 05,GER,6,Stay,34,14,8,12,46,42,4,50,1,31053,Yunus Mallı - 11,Loris Karius
34,Hertha BSC,GER,7,Stay,34,14,8,12,42,42,0,50,1,49704,Salomon Kalou - 14,Rune Jarstein
44,Wolfsburg,GER,8,Stay,34,12,9,13,47,49,-2,45,1,28945,André Schürrle - 9,Diego Benaglio
49,Köln,GER,9,Stay,34,10,13,11,38,42,-4,43,1,48676,Anthony Modeste - 15,Timo Horn
55,Hamburger SV,GER,10,Stay,34,11,8,15,40,46,-6,41,1,41246,Nicolai Müller - 9,René Adler
59,Ingolstadt 04,GER,11,Stay,34,10,10,14,33,42,-9,40,1,14834,Moritz Hartmann - 12,Ramazan Özcan
69,Augsburg,GER,12,Stay,34,9,11,14,42,52,-10,38,1,29017,Koo Ja-cheol - 8,Marwin Hitz
70,Werder Bremen,GER,13,Stay,34,10,8,16,50,65,-15,38,1,40935,Claudio Pizarro - 14,Felix Wiedwald
71,Darmstadt 98,GER,14,Stay,34,9,11,14,38,53,-15,38,1,16647,Sandro Wagner - 14,Christian Mathenia
76,Hoffenheim,GER,15,Stay,34,9,10,15,39,54,-15,37,1,27615,Kevin Volland Mark Uth - 8,Oliver Baumann
77,Eint Frankfurt,GER,16,Stay,34,9,9,16,34,52,-18,36,1,46676,Alexander Meier - 12,Lukáš Hrádecký
90,Stuttgart,GER,17,Relegated,34,9,6,19,50,75,-25,33,1,51983,Daniel Didavi - 13,Przemysław Tytoń
95,Hannover 96,GER,18,Relegated,34,7,4,23,31,62,-31,25,1,41246,Artur Sobiech - 7,Ron-Robert Zieler
3,Juventus,ITA,1,Stay,38,29,4,5,75,20,55,91,2,38662,Paulo Dybala - 19,Gianluigi Buffon
8,Napoli,ITA,2,Stay,38,25,7,6,80,32,48,82,2,38760,Gonzalo Higuaín - 36,Pepe Reina
10,Roma,ITA,3,Stay,38,23,11,4,83,41,42,80,2,35182,Mohamed Salah - 14,Wojciech Szczęsny
14,Inter,ITA,4,Stay,38,20,7,11,50,38,12,67,2,45538,Mauro Icardi - 16,Samir Handanović
19,Fiorentina,ITA,5,Stay,38,18,10,10,60,42,18,64,2,28734,Josip Iličić - 13,Ciprian Tătărușanu
26,Sassuolo,ITA,6,Stay,38,16,13,9,49,40,9,61,2,11437,Nicola Sansone Domenico Berardi... - 7,Andrea Consigli
32,Milan,ITA,7,Stay,38,15,12,11,49,43,6,57,2,37861,Carlos Bacca - 18,Gianluigi Donnarumma
36,Lazio,ITA,8,Stay,38,15,9,14,52,52,0,54,1,21025,Antonio Candreva - 10,Federico Marchetti
45,Chievo,ITA,9,Stay,38,13,11,14,43,45,-2,50,1,11247,Alberto Paloschi - 8,Albano Bizzarri
56,Empoli,ITA,10,Stay,38,12,10,16,40,49,-9,46,1,9510,Massimo Maccarone - 13,Łukasz Skorupski
57,Genoa,ITA,11,Stay,38,13,7,18,45,48,-3,46,1,21359,Leonardo Pavoletti - 14,Mattia Perin
60,Torino,ITA,12,Stay,38,12,9,17,52,55,-3,45,1,19392,Andrea Belotti - 12,Daniele Padelli
61,Atalanta,ITA,13,Stay,38,11,12,15,41,47,-6,45,1,15945,Papu Gómez - 7,Marco Sportiello
74,Bologna,ITA,14,Stay,38,11,9,18,33,45,-12,42,1,18899,Mattia Destro - 8,Antonio Mirante
79,Sampdoria,ITA,15,Stay,38,10,10,18,48,61,-13,40,1,21974,Éder - 12,Emiliano Viviano
82,Palermo,ITA,16,Stay,38,10,9,19,38,65,-27,39,1,17065,Alberto Gilardino - 10,Stefano Sorrentino
83,Udinese,ITA,17,Stay,38,10,9,19,35,60,-25,39,1,16209,Cyril Théréau - 11,Orestis Karnezis
86,Carpi,ITA,18,Relegated,38,9,11,18,37,57,-20,38,1,8968,Kevin Lasagna - 5,Vid Belec
94,Frosinone,ITA,19,Relegated,38,8,7,23,35,76,-41,31,1,7288,Federico Dionisi Daniel Ciofani - 9,Nicola Leali
96,Hellas Verona,ITA,20,Relegated,38,5,13,20,34,63,-29,28,1,18194,Luca Toni Giampaolo Pazzini - 6,Pierluigi Gollini
